ward,division,precinct,placename,street_address,zip_code,accessibility_code,parking_code,gdb_geomattr_data,objectid,lat,lng
4,12,0412,MT CARMEL BAPTIST CHURCH,5732 RACE ST,19139,F,N,,1,39.96455935941847,-75.2357798244305
1,1,0101,SOUTH PHILA OLDER ADULT CENTER,1430 E PASSYUNK AVE,19147,F,L,,2,39.931714402309744,-75.16231233964005
1,2,0102,EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,19148,F,N,,3,39.92674469308537,-75.16353075086812
1,3,0103,SOUTH PHILA OLDER ADULT CENTER,1430 E PASSYUNK AVE,19147,F,L,,4,39.931714402309744,-75.16231233964005
1,4,0104,EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,19148,F,N,,5,39.926744692432756,-75.16352860456361
1,5,0105,EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,19148,F,N,,6,39.926749630408935,-75.16353289658272
1,6,0106,FURNESS SCHOOL,1900 S 3RD ST,19148,F,N,,7,39.9240335624529,-75.15089039699464
1,7,0107,BOK BUILDING,1901 S 9TH ST,19148,F,N,,8,39.92553591276422,-75.15974494086491
1,8,0108,EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,19148,F,N,,9,39.92675456904941,-75.16355435687336
1,9,0109,EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,19148,F,N,,10,39.926614691341506,-75.16350070898454
1,10,0110,SOUTH PHILA OLDER ADULT CENTER,1430 E PASSYUNK AVE,19147,F,L,,11,39.931714402309744,-75.16231233964005
1,11,0111,COLUMBUS SQUARE RECREATION CENTER,1200 WHARTON ST,19147,F,N,,12,39.933821640977364,-75.16432237663032
1,12,0112,MT MORIAH TEMPLE BAPTIST CHURCH,410 WHARTON ST,19147,M,N,,13,39.932168761512905,-75.15195526764823
1,13,0113,MT MORIAH TEMPLE BAPTIST CHURCH,410 WHARTON ST,19147,M,N,,14,39.932168073170736,-75.15195526938031
1,14,0114,DICKINSON SQUARE RECREATION CENTER,1600 E MOYAMENSING AVE,19148,F,L,,15,39.92775015072348,-75.1519198198744
1,15,0115,DICKINSON SQUARE RECREATION CENTER,1600 E MOYAMENSING AVE,19148,F,L,,16,39.92775015072348,-75.1519198198744
1,16,0116,MT MORIAH TEMPLE BAPTIST CHURCH,410 WHARTON ST,19147,M,N,,17,39.932166701694,-75.15195705399003
1,17,0117,HERRON RECREATION CENTER,213 REED ST,19147,M,N,,18,39.930822976338604,-75.14838658947325
1,18,0118,FURNESS SCHOOL,1900 S 3RD ST,19148,F,N,,19,39.92403294630562,-75.15088718361935
1,19,0119,HERRON RECREATION CENTER,213 REED ST,19147,M,N,,20,39.930822976338604,-75.14838658947325
1,20,0120,COLUMBUS SQUARE RECREATION CENTER,1200 WHARTON ST,19147,F,N,,21,39.933821640977364,-75.16432237663032
1,21,0121,FURNESS SCHOOL,1900 S 3RD ST,19148,F,N,,22,39.924033768243945,-75.15088798775741
2,1,0201,MUMMERS MUSEUM,200-10 WASHINGTON AVE,19147,F,N,,23,39.933784698950795,-75.14769143358252
2,2,0202,MUMMERS MUSEUM,200-10 WASHINGTON AVE,19147,F,N,,24,39.93378331703011,-75.14769100778688
2,3,0203,CAPITOLO RECREATION CENTER,900 FEDERAL ST,19147,M,N,,25,39.93420377753389,-75.15937979936058
2,4,0204,CAPITOLO RECREATION CENTER,900 FEDERAL ST,19147,M,N,,26,39.93420871336999,-75.15937908336858
2,5,0205,ST MARONS CHURCH,1013 ELLSWORTH ST,19147,M,L,,27,39.936091670200916,-75.16061734630583
2,6,0206,COLUMBUS SQUARE RECREATION CENTER,1200 WHARTON ST,19147,F,N,,28,39.933821640977364,-75.16432237663032
2,7,0207,ST MARONS CHURCH,1013 ELLSWORTH ST,19147,M,L,,29,39.936091670200916,-75.16061734630583
2,8,0208,ST MARONS CHURCH,1013 ELLSWORTH ST,19147,M,L,,30,39.936091670200916,-75.16061734630583
2,9,0209,HAWTHORNE RECREATION CENTER,1200 CARPENTER ST,19147,M,N,,31,39.93873237775801,-75.16317151065418
2,10,0210,ST MARONS CHURCH,1013 ELLSWORTH ST,19147,M,L,,32,39.936091670200916,-75.16061734630583
2,11,0211,SANTORE LIBRARY,932 S 7TH ST,19147,A,N,,33,39.9373355022088,-75.15536303742316
2,12,0212,SANTORE LIBRARY,932 S 7TH ST,19147,A,N,,34,39.93733602751205,-75.15536112586582
2,13,0213,SANTORE LIBRARY,932 S 7TH ST,19147,A,N,,35,39.93734620707255,-75.15536362718203
2,14,0214,COURTYARD APARTMENTS AT RIVERVIEW,1021 S 4TH ST,19147,F,L,,36,39.93514644025392,-75.15008656506568
4,13,0413,ST MATTHEWS MANOR,230 N 57TH ST,19139,F,L,,37,39.965796729159486,-75.23446691567375
2,15,0215,SETTLEMENT MUSIC SCHOOL-CURTIS,416 QUEEN ST,19147,A,H,,38,39.93779573107622,-75.15108068986584
2,16,0216,SETTLEMENT MUSIC SCHOOL-CURTIS,416 QUEEN ST,19147,A,H,,39,39.93779710251288,-75.15107890392123
2,17,0217,FLEISHER ART MEMORIAL,719 CATHARINE ST,19147,A,H,,40,39.9394984822363,-75.15534834493857
2,18,0218,PALUMBO RECREATION CENTER,725 S 10TH ST,19147,F,N,,41,39.94153935997081,-75.15881960345175
2,19,0219,ACADEMY AT PALUMBO SCHOOL,1100 CATHARINE ST,19147,M,N,,42,39.94036261430776,-75.16179509157877
2,20,0220,ACADEMY AT PALUMBO SCHOOL,1100 CATHARINE ST,19147,M,N,,43,39.94036261430776,-75.16179509157877
2,21,0221,ACADEMY AT PALUMBO SCHOOL,1100 CATHARINE ST,19147,M,N,,44,39.94036261430776,-75.16179509157877
2,22,0222,PALUMBO RECREATION CENTER,725 S 10TH ST,19147,F,N,,45,39.94153935997081,-75.15881960345175
2,23,0223,PALUMBO RECREATION CENTER,725 S 10TH ST,19147,F,N,,46,39.94153935997081,-75.15881960345175
2,24,0224,FLEISHER ART MEMORIAL,719 CATHARINE ST,19147,A,H,,47,39.9394984822363,-75.15534834493857
2,25,0225,SETTLEMENT MUSIC SCHOOL-CURTIS,416 QUEEN ST,19147,A,H,,48,39.937795731251505,-75.15107711868045
2,26,0226,OLD PINE COMMUNITY CENTER,401 LOMBARD ST,19147,M,N,,49,39.943054876661044,-75.14934971598086
2,27,0227,SHOT TOWER RECREATION CENTER,101-31 CARPENTER ST,19147,M,N,,50,39.934970121343824,-75.14590050484156
2,28,0228,GLORIA DEI OLD SWEDES CHURCH,916 S SWANSON ST,19147,M,L,,51,39.9360246506289,-75.1433582807551
2,29,0229,SHOT TOWER RECREATION CENTER,101-31 CARPENTER ST,19147,M,N,,52,39.93497176656334,-75.14589835958057
3,1,0301,SAYRE SCHOOL,5800 WALNUT ST,19139,M,L,,53,39.95861038987209,-75.23866778877613
3,2,0302,MEMORIAL GOSPEL CHURCH,6224 MARKET ST,19139,R,L,,54,39.962609446769505,-75.24578229298331
3,3,0303,CARE PAVILION NURSING & REHAB CENTER,6212 WALNUT ST,19139,B,N,,55,39.95939011159152,-75.24577645561081
3,4,0304,CARE PAVILION NURSING & REHAB CENTER,6212 WALNUT ST,19139,B,N,,56,39.95939197942379,-75.24577889468524
3,5,0305,LENE'S DAILY CHILD CARE II,238-40 S 60TH ST,19139,M,N,,57,39.95832218134081,-75.24196641605802
3,6,0306,LENE'S DAILY CHILD CARE II,238-40 S 60TH ST,19139,M,N,,58,39.95832286664572,-75.24196462751715
3,7,0307,TABERNACLE LUTHERAN CHURCH,5843 SPRUCE ST,19139,M,N,,59,39.95684005346912,-75.23963676804614
3,8,0308,THE CHURCH OF CHRISTIAN COMPASSION,6136 CEDAR AVE,19143,F,L,,60,39.952747433735034,-75.24430401492573
3,9,0309,THE CHURCH OF CHRISTIAN COMPASSION,6136 CEDAR AVE,19143,F,L,,61,39.952739033364445,-75.24430960696301
